timestamp,log_level,source,message
2024-01-15T14:29:00,CRITICAL,PLC-REACTOR-01,CRITICAL CONDITION - Temperature: 148.5C Pressure: 178.2 PSI
2024-01-15T14:29:15,ERROR,OPS-CONSOLE,Operator attempting manual emergency shutdown
2024-01-15T14:29:20,ERROR,SAFETY-SYSTEM,Manual emergency shutdown failed - Interlock override active
2024-01-15T14:30:05,CRITICAL,PLC-REACTOR-01,REACTOR FAILURE IMMINENT - Temperature: 152.0C Pressure: 182.0 PSI
2024-01-15T14:30:30,INFO,OPS-CONSOLE,Emergency response team activated
2024-01-15T14:31:00,INFO,SCADA-HMI-01,Security admin logged in from 192.168.1.100
2024-01-15T14:31:15,WARN,SCADA-HMI-01,Unauthorized configuration changes detected
2024-01-15T14:31:45,INFO,SAFETY-SYSTEM,Manual interlock override removal initiated
2024-01-15T14:32:10,INFO,SAFETY-SYSTEM,Safety interlock restored
2024-01-15T14:32:20,INFO,PLC-REACTOR-01,Emergency shutdown activated
2024-01-15T14:32:50,WARN,PLC-REACTOR-01,Emergency cooling engaged - Temperature: 145.2C
2024-01-15T14:33:30,INFO,PLC-REACTOR-01,Temperature declining - Current: 130.5C Pressure: 150.2 PSI
2024-01-15T14:34:45,INFO,ALARM-SYSTEM,Temperature alarm re-enabled for PLC-REACTOR-01
2024-01-15T14:34:50,INFO,ALARM-SYSTEM,Pressure alarm re-enabled for PLC-REACTOR-01
2024-01-15T14:35:20,INFO,PLC-REACTOR-01,Temperature stabilizing - Current: 115.8C Pressure: 135.0 PSI
2024-01-15T14:36:40,INFO,SEC-AUDIT,Investigating unauthorized access by user supervisor
2024-01-15T14:37:15,WARN,SEC-AUDIT,User supervisor last login from suspicious IP 192.168.1.250
2024-01-15T14:38:05,CRITICAL,SEC-AUDIT,Attack pattern identified: Brute force followed by malicious PLC programming
2024-01-15T14:38:30,INFO,SEC-AUDIT,Attacker disabled safety alarms and overrode interlocks
2024-01-15T14:39:00,ERROR,SEC-AUDIT,Modified ladder logic contained dangerous setpoint changes
2024-01-15T14:40:15,INFO,INCIDENT-MGR,Incident classified as targeted SCADA attack
2024-01-15T14:41:30,INFO,PLC-REACTOR-01,Normal operation restored - Temperature: 85.0C Pressure: 120.0 PSI
2024-01-15T14:42:00,INFO,SCADA-HMI-01,User supervisor account disabled pending investigation
2024-01-15T14:43:15,INFO,FIREWALL-01,IP 192.168.1.250 blocked on all interfaces
2024-01-15T14:44:20,INFO,INCIDENT-MGR,Forensic analysis initiated
2024-01-15T14:45:00,INFO,OPS-CONSOLE,System returned to normal operation under enhanced monitoring
